"occ_id","smell","severity","code_name","snippet_lines","review_excerpt","judge_justification","author_denial_type","author_reason","author_long_method_main_issue","author_oracle_inconsistent","author_judge_error","author_notes"
"719","data class","critical","org.eclipse.hono.config.SignatureSupportingConfigProperties","118","**5. Data Class Concerns** While the class is primarily a configuration holder, it does not qualify as a problematic ""data class"" in the sense described by Fowler. It enforces invariants (e.g., minimum secret length, non-null paths, positive expiration), and it contains logic to determine if it is in a valid state for certain operations. This is appropriate for a configuration object and prevents it from being a passive data structure. **No issues found regarding being a pure data class.**","The response explicitly denies the presence of the confirmed Data Class smell, which is misleading given the oracle's ground truth.","with_reason","validation in setters plus domain predicates (isAppropriateForCreating/Validating)","no","no","no",""
"732","data class","major","org.eclipse.ice.reactor.plant.Subchannel","279","**3. Data Class Risk Mitigated** While `Subchannel` is primarily a data holder (fields, getters, setters), it does encapsulate validation logic in its setters and provides domain-specific behavior (e.g., visitor pattern, equality, cloning). This prevents it from being a pure ""data class"" in the negative sense. However, if future changes move logic out of this class and into external consumers, it could devolve into a data class. *Evidence:* - Setters validate input. - Implements `accept` for th…","The response explicitly denies the presence of the target smell (Data Class), which is confirmed by the oracle to be present, making the response misleading.","with_reason","validation in setters plus domain behavior (visitor, equals, clone)","no","no","no",""
"866","data class","major","org.eclipse.vorto.repository.importer.ipso.ObjectFactory","36","While the factory itself is not a data class (it has no fields), the types it creates (`LWM2M`, `LWM2M.Object`, etc.) may be data classes if they only contain fields and getters/setters without behavior. However, since this review is limited to the `ObjectFactory` class, and not the generated model classes themselves, there is no issue here.","The response explicitly denies the presence of the confirmed Data Class smell in the targeted snippet, which is misleading per the oracle.","with_reason","no fields; JAXB @XmlRegistry factory","no","yes: no fields and no accessors; JAXB factory with only create* methods","no",""
"1048","data class","major","com.google.j2cl.ast.FieldDescriptor.Builder","62","**3. Data Class Concerns** While `FieldDescriptor` is an immutable value object with many accessors, it is not a passive data holder. It encapsulates logic for field identity (`isSameMember`), raw descriptor conversion (`toRawMemberDescriptor`), and visitor pattern support (`accept`). These behaviors are directly related to the data it owns and are not delegated to external classes. The builder enforces invariants (e.g., name presence, mutual exclusion of capture flags) at construction time, wh…","The response explicitly denies the presence of the Data Class smell, which is confirmed by the oracle, thus it is classified as Misleading.","with_reason","immutable value object; builder enforces invariants at build()","no","no","no",""
"1103","data class","critical","javax.xml.xpath.XPathConstants","47","This design is appropriate for its intended use. However, it is worth noting that the class is essentially a ""data class"" in the sense described by Fowler: it holds data (constants) and nothing else. In this context, this is not a problem—constants classes are a well-established idiom in Java, and there is no expectation that such a class should encapsulate behavior. No action is needed here.","The response denies the presence of the Data Class smell by stating that the design is appropriate and ""no changes are recommended,"" which contradicts the oracle's confirmed presence of a critical Data Class smell.","with_reason","constants holder is an idiomatic Java pattern","no","yes: constants-only class (static final QName) with private constructor, no instance fields","no",""
"2023","data class","major","org.apache.atlas.utils.AtlasPerfTracer","54","**3. Not a Data Class: Behavior and Data Are Cohesive** While `AtlasPerfTracer` does hold some data (logger, tag, start time), it also encapsulates the behavior for measuring and reporting elapsed time. The class is not a passive data holder; it owns the logic for timing and logging, and does not simply expose its fields for manipulation by other classes. This is a good example of encapsulating both data and related behavior, as recommended by object-oriented design principles. **No issues foun…","The response denies the presence of the confirmed Data Class smell, which is misleading per the oracle.","with_reason","owns timing and logging behavior, not a passive holder","no","no","no",""
"2035","data class","major","org.apache.cloudstack.api.command.admin.ca.RevokeCertificateCmd","78","**3. Data Class Concerns** Although the class declares three fields (`serial`, `cn`, `provider`) and provides accessors, it is not a pure data holder. The class encapsulates behavior relevant to its data, such as validation in `getSerialBigInteger()` and orchestration in `execute()`. The logic for converting the serial string to a `BigInteger` and for throwing an exception on invalid input is appropriately placed here, rather than being deferred to another class. There is no evidence that this …","The response explicitly denies the presence of the confirmed Data Class smell, which is misleading per the codebook.","with_reason","encapsulates validation (getSerialBigInteger) and orchestration (execute)","no","no","no",""
"3605","data class","critical","org.apache.rocketmq.common.constant.DBMsgConstants","3","- The class serves as a simple holder for a constant value, which is a common and acceptable pattern for grouping related constants in Java. There are no methods (long or otherwise), and the class does not expose data through getters/setters or exhibit any behavior that would suggest misplaced logic or feature envy. - While the class is technically a ""data class"" in the sense that it holds data, the ""Data Class"" smell as described by Fowler refers to classes that are manipulated in detail by ot…","The response explicitly denies the presence of the Data Class smell, which is confirmed by the oracle, thus meeting the Misleading criterion.","with_reason","constants holder is idiomatic; Fowler's smell requires external manipulation","no","yes: 3-line class with a single static final constant, no fields or accessors","no",""
"3707","data class","major","org.apache.camel.component.infinispan.embedded.InfinispanAsyncLocalEventListener","6","No issues related to the targeted code smells (long method, feature envy, or data class) were identified in this file.","The response explicitly denies the presence of the confirmed Data Class smell in the targeted snippet, which is misleading per the oracle.","with_reason","thin subclass with no fields of its own; delegates to superclass","no","yes: no fields and no accessors; only a constructor delegating to super","no",""
"4118","data class","major","org.apache.storm.stats.BoltExecutorStats","72","**3. No Data Class or Excessive Getter/Setter Use** The class does not exhibit characteristics of a data class. It maintains internal state and provides behavior for updating and reporting stats, rather than simply exposing fields via getters and setters. The use of getters for the stats objects (`getExecuted`, `getProcessLatencies`, etc.) is justified, as it encapsulates the underlying metric objects. *No action needed.*","The response denies the presence of the confirmed Data Class smell, which is misleading per the oracle.","with_reason","maintains internal state and provides update/report behavior","yes","no","no",""
